Signal1,Signal2,Signal3,Signal4,Signal5,Signal6,Signal7,Signal8,Signal9,Signal10,Signal11,Signal12,Signal13,Signal14,Signal15,Signal16,Signal17,Signal18,Signal19,Signal20,Signal21,Signal22,Signal23,Signal24,Signal25,Signal26,Signal27,Signal28,Signal29,Signal30,Signal31,Signal32,Signal33,Signal34,Signal35,Signal36,entity,timestamp
60.35927,40.936142,56.961563,1.1709774,11.445182,5.578162,62.5,5.9003053,4.0013566,305.41544,64.901405,43.57595,78.5,287.1,163.77509,58.456963,61.696987,305.6,301.7,38.69688,55.8,4.3404546,92.8893,6.4004745,56.6,7.1888776,64.29771,15.796903,156.58809,301.2,17.327908,8.960665,105.72976,200.0,63.698788,58.55869,Equipment1,2018-01-30 00:48:00
60.35927,40.95903,56.966652,1.1709774,11.409476,5.5527296,62.2,5.959647,3.9674466,305.25064,64.891235,43.58358,78.6,287.0,163.66064,58.456963,61.696987,305.8,301.9,38.677807,55.8,4.3404546,92.40482,6.3580875,56.2,7.087148,64.29771,15.934234,156.58046,300.8,17.463547,9.172601,105.49325,200.0,63.672085,58.563774,Equipment1,2018-01-30 00:49:00
60.349094,41.020065,56.966652,1.1709774,11.413138,5.5866394,62.3,5.934215,4.0013566,305.51614,64.881065,43.625546,78.6,287.1,163.7789,58.462048,61.696987,305.7,301.8,38.69688,55.8,4.306545,91.92035,6.4004745,56.3,7.121058,64.29771,16.010529,156.54231,301.0,17.599186,8.935232,105.90143,200.0,63.69116,58.55869,Equipment1,2018-01-30 00:50:00
60.354183,41.020065,56.971737,1.1718929,11.3820095,5.5272975,62.2,5.9257374,3.9674466,304.60974,64.87598,43.60647,78.6,287.0,163.7522,58.456963,61.686813,305.7,301.9,38.68925,55.7,4.272635,91.47784,6.256358,56.2,7.290607,64.24429,16.418707,156.49652,300.8,17.260088,9.104781,105.16899,200.0,63.698788,58.55869,Equipment1,2018-01-30 00:51:00
60.354183,40.95903,56.97682,1.1718929,11.37377,5.5272975,62.2,5.959647,3.9674466,304.91187,64.87598,43.648434,78.5,287.1,163.79797,58.456963,61.686813,305.6,301.9,38.620583,55.8,4.3404546,92.217896,6.298745,56.2,7.290607,64.221405,16.510262,156.55757,300.8,17.870464,9.079349,105.7908,200.0,63.698788,58.5536,Equipment1,2018-01-30 00:52:00
60.35927,41.00862,56.966652,1.1718929,11.44152,5.578162,62.4,5.976602,3.9674466,304.9668,64.87598,43.698025,78.5,287.0,163.84756,58.456963,61.686813,305.7,301.8,38.68162,55.8,4.3404546,91.05821,6.3919973,56.4,7.324517,64.25193,16.32334,156.57283,301.0,17.361818,9.003052,106.16846,200.0,63.698788,58.5536,Equipment1,2018-01-30 00:53:00
60.35927,41.027695,56.961563,1.1718929,11.398489,5.620549,62.4,6.0020347,3.9674466,305.7084,64.87089,43.713284,78.5,287.2,163.77127,58.451874,61.691902,305.6,301.8,38.69688,55.9,4.306545,91.256584,6.3835196,56.4,7.154968,64.271,16.197453,156.59953,301.0,17.667006,9.189556,106.37446,200.0,63.633938,58.54343,Equipment1,2018-01-30 00:54:00
60.35927,40.989548,56.966652,1.1718929,11.431449,5.637504,62.3,5.993557,4.0013566,304.69214,64.87089,43.648434,78.6,286.9,163.78271,58.451874,61.68173,305.7,301.9,38.69688,55.7,4.3404546,92.20264,6.3919973,56.3,7.3923364,64.19852,16.273746,156.59953,300.9,17.633097,8.943709,106.40879,200.0,63.679714,58.5536,Equipment1,2018-01-30 00:55:00
60.349094,41.058212,56.966652,1.1718929,11.450675,5.5612073,62.5,5.9087825,4.0013566,304.9485,64.86581,43.610283,78.5,287.0,163.72931,58.44679,61.68173,305.6,301.7,38.69688,55.8,4.306545,92.19882,6.3750424,56.5,7.290607,64.263374,16.197453,156.59572,301.2,17.124449,9.121737,106.50034,200.0,63.649197,58.53834,Equipment1,2018-01-30 00:56:00
60.338924,41.042953,56.95648,1.1718929,11.456168,5.629027,62.5,6.010512,4.0013566,305.0126,64.85563,43.56069,78.5,287.0,163.61487,58.44679,61.671555,305.5,301.7,38.68162,55.8,4.3404546,92.09964,6.273313,56.5,7.3923364,64.271,16.1326,156.45456,301.2,17.395727,9.299763,106.69489,200.0,63.595787,58.54343,Equipment1,2018-01-30 00:57:00
60.338924,41.054398,56.95139,1.1718929,11.463492,5.645982,62.3,5.91726,4.0013566,305.18655,64.84546,43.595024,78.6,286.9,163.61487,58.4417,61.68173,305.7,301.8,38.731213,55.7,4.3404546,92.47349,6.086809,56.3,7.324517,64.27482,16.121157,156.51942,300.9,17.599186,8.926755,107.007706,200.0,63.69116,58.53834,Equipment1,2018-01-30 00:58:00
60.338924,41.08873,56.95139,1.1718929,11.401236,5.629027,62.2,5.8833504,4.0013566,305.7725,64.83529,43.60647,78.6,287.1,163.69879,58.4417,61.676643,305.7,301.8,38.731213,55.9,4.3404546,92.1149,5.976602,56.2,7.256697,64.28626,16.14786,156.59953,300.9,17.904375,8.969142,107.084,200.0,63.698788,58.533257,Equipment1,2018-01-30 00:59:00
60.333836,41.062027,56.961563,1.1728084,11.427787,5.5272975,62.3,5.8918276,4.0013566,304.8203,64.84546,43.572136,78.5,287.0,163.71786,58.4417,61.66647,305.6,301.8,38.69688,55.8,4.3404546,92.83971,6.3750424,56.3,7.290607,64.271,16.338598,156.59953,300.9,18.107834,9.198033,106.98863,200.0,63.69116,58.533257,Equipment1,2018-01-30 01:00:00
60.32875,41.03914,56.94122,1.1728084,11.451591,5.5696845,62.4,5.993557,3.9335368,304.6372,64.84546,43.633175,78.6,287.0,163.73312,58.44679,61.66647,305.6,301.7,38.69688,55.8,4.3743644,92.65659,6.476772,56.4,7.290607,64.22522,16.342413,156.59953,301.0,17.904375,9.028484,107.23659,200.0,63.694973,58.52817,Equipment1,2018-01-30 01:01:00
60.32366,41.09636,56.94122,1.1728084,11.445182,5.5527296,62.3,5.8918276,3.899627,305.095,64.83529,43.63699,78.7,287.0,163.67972,58.436615,61.66138,305.7,301.8,38.708324,55.8,4.3743644,92.561226,6.2394032,56.3,7.3923364,64.23285,16.258488,156.61098,301.0,17.667006,8.621567,107.38918,200.0,63.687344,58.52817,Equipment1,2018-01-30 01:02:00
60.318577,41.069656,56.93613,1.1728084,11.452506,5.5612073,62.5,5.934215,3.9674466,304.83862,64.84546,43.610283,78.5,287.1,163.67972,58.43153,61.656296,305.5,301.5,38.700695,55.9,4.3404546,90.9247,6.2817903,56.5,7.324517,64.263374,16.250858,156.60335,301.2,17.667006,8.935232,107.24422,200.0,63.68353,58.52817,Equipment1,2018-01-30 01:03:00
60.318577,41.09636,56.931046,1.1728084,11.382925,5.467955,62.0,5.91726,3.9335368,304.92102,64.84037,43.614098,78.8,286.9,163.53094,58.421356,61.656296,306.0,302.2,38.69688,55.7,4.3404546,92.49256,6.3919973,55.9,7.087148,64.20996,16.483559,156.5919,300.5,17.633097,9.062394,107.16029,200.0,63.65301,58.523083,Equipment1,2018-01-30 01:04:00
60.308403,41.00099,56.915787,1.1728084,11.335317,5.5612073,61.9,6.0444217,3.9674466,305.67178,64.83529,43.640804,78.7,287.0,163.80942,58.42644,61.646122,305.9,302.2,38.69688,55.8,4.3404546,90.562294,6.3835196,55.8,7.154968,64.20615,16.483559,156.62242,300.4,17.667006,8.969142,107.75159,200.0,63.69116,58.517998,Equipment1,2018-01-30 01:05:00
