Signal1,Signal2,Signal3,Signal4,Signal5,Signal6,Signal7,Signal8,Signal9,Signal10,Signal11,Signal12,Signal13,Signal14,Signal15,Signal16,Signal17,Signal18,Signal19,Signal20,Signal21,Signal22,Signal23,Signal24,Signal25,Signal26,entity,timestamp
59.108017,37.613487,54.05215,1.3485924,11.906615,5.467955,0.0,8.028145,3.1536114,305.13162,63.97569,40.26093,78.5,286.2,161.24208,57.01243,60.25754,304.9,300.3,35.099564,53.6,4.272635,65.47646,8.214649,53.4,8.51136,Equipment1,2018-08-07 01:07:00
59.102932,37.605858,54.062325,1.3485924,11.878233,5.4933877,0.0,7.943371,3.1536114,304.97595,63.9706,40.154118,78.7,286.0,161.30693,57.01243,60.25754,305.1,300.6,35.08812,53.5,4.272635,65.396355,7.917938,53.1,8.57918,Equipment1,2018-08-07 01:08:00
59.108017,37.59823,54.067413,1.3485924,11.655756,5.51882,0.0,7.9772806,3.051882,305.8091,63.9706,40.215153,78.9,286.3,161.6083,57.022602,60.26771,305.3,301.1,35.099564,53.6,4.306545,65.42306,8.223126,52.4,8.782639,Equipment1,2018-08-07 01:09:00
59.113106,37.552452,54.082672,1.3485924,11.810483,5.4001355,0.0,7.875551,2.9840624,304.69214,63.980774,40.33341,78.4,286.4,162.18814,57.032772,60.277885,304.7,300.3,35.076675,53.7,4.306545,65.43069,8.189217,53.3,8.816548,Equipment1,2018-08-07 01:10:00
59.108017,37.563896,54.0725,1.3476769,11.911193,5.467955,0.0,7.8246865,2.9840624,304.56396,63.980774,40.276188,78.6,286.0,161.78378,57.00734,60.262627,304.9,300.4,35.03853,53.5,4.272635,65.468834,8.265513,53.4,8.680909,Equipment1,2018-08-07 01:11:00
59.097843,37.499046,54.05724,1.3476769,11.880064,5.4170904,0.0,7.909461,2.9840624,305.0309,63.9706,40.276188,78.6,286.1,161.77234,57.00734,60.25754,305.0,300.5,35.046158,53.5,4.306545,65.48028,8.172262,53.3,8.47745,Equipment1,2018-08-07 01:12:00
59.09276,37.58297,54.062325,1.3476769,11.752804,5.451,0.0,7.8840284,3.0179722,305.40628,63.965515,40.29526,79.0,286.1,161.79904,57.002254,60.262627,305.4,301.0,35.00038,53.6,4.272635,65.49935,8.401153,52.6,8.714819,Equipment1,2018-08-07 01:13:00
59.102932,37.5906,54.077583,1.3476769,11.782102,5.451,0.0,7.943371,3.0179722,304.89355,63.9706,40.31815,78.6,286.2,162.19196,57.027687,60.26771,305.0,300.6,34.996567,53.6,4.306545,65.47265,7.985758,53.0,8.51136,Equipment1,2018-08-07 01:14:00
59.09276,37.59823,54.05724,1.3476769,11.981689,5.4340453,0.0,7.875551,3.0857918,304.64636,63.97569,40.264744,78.6,286.0,162.03555,56.99717,60.25754,304.9,300.3,34.996567,53.4,4.306545,65.46502,8.240082,53.6,8.57918,Equipment1,2018-08-07 01:15:00
59.087673,37.59823,54.036892,1.3467612,11.897459,5.408613,0.0,7.8670735,3.0857918,305.14078,63.97569,40.249485,78.4,286.2,161.67316,56.99717,60.247368,304.8,300.2,35.011826,53.6,4.306545,65.47646,8.087487,53.5,8.57918,Equipment1,2018-08-07 01:16:00
59.087673,37.5906,54.047066,1.3467612,11.833371,5.4340453,0.0,7.8246865,3.0857918,304.74707,63.9706,40.283817,78.6,286.1,161.55109,56.99717,60.25754,304.9,300.5,34.996567,53.5,4.306545,65.46502,8.189217,53.2,8.57918,Equipment1,2018-08-07 01:17:00
59.087673,37.56008,54.062325,1.3467612,11.833371,5.451,0.0,7.875551,3.051882,304.79285,63.9706,40.299076,78.7,286.0,161.72656,57.00734,60.252453,305.1,300.8,35.004196,53.5,4.306545,65.48028,8.019668,53.1,8.51136,Equipment1,2018-08-07 01:18:00
59.082584,37.52575,54.04198,1.3467612,12.089723,5.3916583,0.0,7.8331637,3.051882,304.28015,63.9706,40.257114,78.2,286.1,161.66171,56.97682,60.237194,304.4,299.7,34.996567,53.5,4.306545,65.4078,7.8585963,54.3,8.646999,Equipment1,2018-08-07 01:19:00
59.0775,37.647823,54.00129,1.3467612,12.109865,5.4170904,0.0,7.799254,3.051882,305.32388,63.965515,40.291447,78.3,286.1,160.90639,56.946304,60.227024,304.6,299.7,34.996567,53.5,4.306545,65.396355,8.053577,54.2,8.782639,Equipment1,2018-08-07 01:20:00
59.087673,37.58297,54.006374,1.3458457,11.949645,5.467955,0.0,7.8840284,3.0857918,305.1591,63.960426,40.192265,78.5,286.0,160.5974,56.95139,60.227024,304.9,300.4,34.996567,53.4,4.272635,65.40017,7.9942355,53.5,8.409631,Equipment1,2018-08-07 01:21:00
59.0775,37.50286,54.011463,1.3458457,11.761959,5.451,0.0,7.985758,3.051882,305.57108,63.950256,40.234226,78.9,286.1,161.05135,56.966652,60.242283,305.3,300.9,34.996567,53.5,4.272635,65.44213,8.138352,52.8,8.680909,Equipment1,2018-08-07 01:22:00
59.0775,37.50286,54.026722,1.3458457,11.830625,5.408613,0.0,7.816209,3.1197016,304.76538,63.945168,40.234226,78.6,286.2,161.6083,56.966652,60.242283,305.0,300.6,34.95842,53.5,4.306545,65.45739,8.333333,53.2,8.748729,Equipment1,2018-08-07 01:23:00
59.067326,37.499046,54.026722,1.3458457,11.891966,5.3831806,0.0,7.8501186,3.1197016,304.50903,63.945168,40.192265,78.6,286.1,161.68079,56.971737,60.237194,305.0,300.4,34.912643,53.5,4.272635,65.40017,8.121397,53.4,8.884368,Equipment1,2018-08-07 01:24:00
59.072414,37.43801,54.01655,1.3458457,11.832456,5.3662257,0.0,7.7483892,3.0857918,305.32388,63.945168,40.226597,78.7,286.1,161.51675,56.95648,60.227024,305.1,300.6,34.897385,53.5,4.306545,65.403984,8.028145,53.1,8.443541,Equipment1,2018-08-07 01:25:00
59.0775,37.399864,54.031807,1.3458457,11.692378,5.459478,0.0,7.8501186,3.051882,305.51614,63.945168,40.08545,78.9,286.2,161.81812,56.98191,60.237194,305.3,301.0,34.897385,53.6,4.306545,65.388725,8.206172,52.6,8.850458,Equipment1,2018-08-07 01:26:00
59.072414,37.399864,54.036892,1.3449302,11.736324,5.4933877,0.0,7.917938,3.051882,304.9485,63.945168,40.16556,78.8,286.2,162.2568,56.986996,60.242283,305.2,300.9,34.897385,53.5,4.306545,65.34295,8.443541,52.8,8.680909,Equipment1,2018-08-07 01:27:00
59.06224,37.399864,54.031807,1.3449302,11.917602,5.4170904,0.0,7.8501186,3.0179722,304.15198,63.950256,40.051117,78.2,286.2,162.3331,56.971737,60.227024,304.5,300.1,34.851604,53.5,4.3404546,65.30099,8.257036,53.8,8.646999,Equipment1,2018-08-07 01:28:00
59.04698,37.44564,53.98094,1.3449302,11.919433,5.3831806,0.0,7.8246865,3.0179722,305.47037,63.934998,40.18082,78.6,286.2,161.86389,56.94122,60.21685,304.9,300.4,34.821087,53.5,4.306545,65.35058,8.019668,53.4,8.680909,Equipment1,2018-08-07 01:29:00
59.052067,37.331196,53.991116,1.3449302,11.828794,5.4170904,0.0,7.8077316,3.0857918,305.3788,63.924824,40.150303,79.0,286.1,161.55109,56.94122,60.21685,305.3,300.8,34.7982,53.4,4.272635,65.388725,7.9772806,52.9,8.51136,Equipment1,2018-08-07 01:30:00
